source_id,target_id,edge_kind,shared_length_m,centroid_dist_m,walk_dist_m,walk_time_min,cross_arterial,cross_rail,cross_river,cross_elevated,has_crossing_facility,crossing_type,barrier_cost,angular_cost,edge_cost,edge_conductance,edge_weight_norm
plot_10064,plot_19640,parcel_touch,66.746,96.032,117.158,1.4059,0,0,0,0,0,,0.0,0.0,1.4059,0.8447555359924311,0.259288
plot_10064,plot_6537,proximity_bridge,0.0,107.818,131.539,1.5785,0,0,0,0,0,,0.0,0.0,1.5785,0.33097556374498854,0.101589
plot_10065,plot_10006,proximity_bridge,0.0,99.055,120.847,1.4502,0,0,0,0,0,,0.0,0.0,1.4502,0.3361106923099565,0.092615
plot_10065,plot_10008,proximity_bridge,0.0,137.494,167.743,2.0129,0,1,0,0,0,,5.0,0.0,7.0129,0.17241710101073535,0.047509
plot_10065,plot_10009,proximity_bridge,0.0,76.007,92.728,1.1127,0,0,0,0,0,,0.0,0.0,1.1127,0.3500025874281469,0.096443
plot_10065,plot_10047,proximity_bridge,0.0,124.011,151.293,1.8155,0,0,0,0,0,,0.0,0.0,1.8155,0.3216952108436761,0.088643
plot_10065,plot_10066,parcel_touch,47.955,66.102,80.644,0.9677,0,0,0,0,0,,0.0,0.0,0.9677,0.8903648112154743,0.245339
plot_10065,plot_19856,proximity_bridge,0.0,121.804,148.601,1.7832,0,0,0,0,0,,0.0,0.0,1.7832,0.3229445210800732,0.088987
plot_10065,plot_6592,proximity_bridge,0.0,79.683,97.213,1.1666,0,0,0,0,0,,0.0,0.0,1.1666,0.3477460761170035,0.095821
plot_10065,plot_7070,parcel_touch,67.603,67.719,82.617,0.9914,0,0,0,0,0,,0.0,0.0,0.9914,0.8878362110661369,0.244642
plot_10066,plot_10008,proximity_bridge,0.0,134.639,164.259,1.9711,0,1,0,0,0,,5.0,0.0,6.9711,0.17328411784977446,0.03323
plot_10066,plot_10009,proximity_bridge,0.0,77.156,94.13,1.1296,0,0,0,0,0,,0.0,0.0,1.1296,0.349293501437064,0.066983
plot_10066,plot_10046,parcel_touch,20.472,106.264,129.642,1.5557,0,0,0,0,0,,0.0,0.0,1.5557,0.829705882022931,0.159111
plot_10066,plot_10047,parcel_touch,48.854,82.419,100.552,1.2066,0,0,0,0,0,,0.0,0.0,1.2066,0.865202236461168,0.165918
plot_10066,plot_10065,parcel_touch,47.955,66.102,80.644,0.9677,0,0,0,0,0,,0.0,0.0,0.9677,0.8903648112154743,0.170744
plot_10066,plot_19856,parcel_touch,100.507,56.899,69.416,0.833,0,0,0,0,0,,0.0,0.0,0.833,0.9048736122565606,0.173526
plot_10066,plot_6593,proximity_bridge,0.0,123.854,151.102,1.8132,0,0,0,0,0,,0.0,0.0,1.8132,0.32178401097572346,0.061708
plot_10066,plot_7070,parcel_touch,60.693,72.682,88.672,1.0641,0,0,0,0,0,,0.0,0.0,1.0641,0.8801244157229108,0.16878
plot_10067,plot_10006,parcel_touch,127.862,77.244,94.238,1.1309,0,0,0,0,0,,0.0,0.0,1.1309,0.8730975397520553,0.293488
plot_10067,plot_10007,parcel_touch,5.519,66.083,80.621,0.9675,0,0,0,0,0,,0.0,0.0,0.9675,0.8903861802273706,0.2993
plot_10067,plot_10068,parcel_touch,39.14,69.039,84.227,1.0107,0,0,0,0,0,,0.0,0.0,1.0107,0.8857823616769464,0.297752
plot_10067,plot_17123,proximity_bridge,0.0,117.08,142.838,1.7141,0,0,0,0,0,,0.0,0.0,1.7141,0.32563351019044395,0.10946
plot_10068,plot_10006,proximity_bridge,0.0,84.433,103.009,1.2361,0,0,0,0,0,,0.0,0.0,1.2361,0.3448579341347715,0.137976
plot_10068,plot_10007,parcel_touch,101.447,31.014,37.838,0.4541,0,0,0,0,0,,0.0,0.0,0.4541,0.9469660845561986,0.378875
plot_10068,plot_10067,parcel_touch,39.14,69.039,84.227,1.0107,0,0,0,0,0,,0.0,0.0,1.0107,0.8857823616769464,0.354396
plot_10068,plot_11803,proximity_bridge,0.0,123.811,151.05,1.8126,0,0,0,0,0,,0.0,0.0,1.8126,0.32180718025859784,0.128753
plot_10074,plot_10100,proximity_bridge,0.0,120.575,147.102,1.7652,0,0,0,0,0,,0.0,0.0,1.7652,0.3236428351533007,0.076366
plot_10074,plot_10109,parcel_touch,37.774,95.39,116.375,1.3965,0,0,0,0,0,,0.0,0.0,1.3965,0.8457089578658741,0.199551
plot_10074,plot_10113,proximity_bridge,0.0,81.158,99.013,1.1882,0,0,0,0,0,,0.0,0.0,1.1882,0.34684588543881856,0.081841
plot_10074,plot_19749,proximity_bridge,0.0,135.447,165.246,1.983,0,0,0,0,0,,0.0,0.0,1.983,0.3152936879327939,0.074396
plot_10074,plot_19791,parcel_touch,21.875,76.397,93.205,1.1185,0,0,0,0,0,,0.0,0.0,1.1185,0.8743976759526488,0.20632
plot_10074,plot_6698,proximity_bridge,0.0,112.143,136.815,1.6418,0,1,0,0,0,,5.0,0.0,6.6418,0.18026870568299838,0.042536
plot_10074,plot_7165,proximity_bridge,0.0,143.657,175.261,2.1031,0,0,0,0,0,,0.0,0.0,2.1031,0.3107822627195338,0.073331
plot_10074,plot_7166,parcel_touch,106.333,77.622,94.699,1.1364,0,0,0,0,0,,0.0,0.0,1.1364,0.8725214854946346,0.205878
