unit_id,t_id,global_state,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_18104,WD_AM,G7,0.0,7.002919037595971e-32,0.0,0.0,5.642260997632607e-59,0.0,0.9999999999989999
plot_18107,WD_AM,G7,0.0,0.0,0.0,0.0,1.1393504944283426e-62,0.0,0.9999999999989999
plot_18108,WD_AM,G1,0.9990186975481765,3.67131036539277e-21,0.0,0.0,3.7881277714352886e-38,0.0009813024511848333,0.0
plot_1811,WD_AM,G6,0.0,9.729929505668218e-22,0.0,0.0,8.617492619128995e-38,0.9999999999989999,0.0
plot_18111,WD_AM,G7,0.0,0.0,0.0,0.0,9.079209381603165e-63,0.0,0.9999999999989999
plot_18112,WD_AM,G7,0.0,2.861409995330809e-31,0.0,0.0,3.744424424704122e-60,0.0,0.9999999999989999
plot_18113,WD_AM,G7,0.0,0.0,0.0,0.0,1.0751437736951986e-26,0.0,0.9999999999989999
plot_18114,WD_AM,G7,0.0,8.631188147951782e-31,0.0,0.0,5.587415135855256e-60,0.0,0.9999999999989999
plot_18115,WD_AM,G7,0.0,0.0,0.0,0.0,8.368362703739001e-63,0.0,0.9999999999989999
plot_18116,WD_AM,G7,0.0,6.779048714737644e-32,0.0,0.0,1.0637512406711279e-60,0.0,0.9999999999989999
plot_18117,WD_AM,G3,3.607588314933429e-09,0.0,0.9999999963915993,0.0,3.368470030282155e-46,0.0,0.0
plot_18119,WD_AM,G7,0.0,2.3395487362568057e-25,0.0,0.0,1.6854468851533013e-55,0.0,0.9999999999989999
plot_1812,WD_AM,G3,7.983295249726028e-09,0.0,0.9999999920158924,0.0,3.341921435485138e-46,0.0,0.0
plot_18120,WD_AM,G7,0.0,0.0,0.0,0.0,7.138494900238378e-61,0.0,0.9999999999989999
plot_18123,WD_AM,G6,0.0,6.062411915695989e-23,0.0,0.0,4.315170422018486e-36,0.9999999999989999,0.0
plot_18125,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,6.0629051125483405e-25,0.0,0.0
plot_18126,WD_AM,G7,0.0,2.77096354859866e-31,0.0,0.0,1.0153857980812473e-60,0.0,0.9999999999989999
plot_18135,WD_AM,G7,0.0,7.339767054009374e-31,0.0,0.0,3.4184467703880073e-60,0.0,0.9999999999989999
plot_18136,WD_AM,G7,0.0,7.752577691564645e-30,0.0,0.0,1.3302626518972081e-59,0.0,0.9999999999989999
plot_18137,WD_AM,G7,0.0,4.191358517343844e-31,0.0,0.0,1.001899605389193e-60,0.0,0.9999999999989999
plot_18138,WD_AM,G7,0.0,6.250588167364844e-31,0.0,0.0,1.42868130277915e-60,0.0,0.9999999999989999
plot_18139,WD_AM,G7,0.0,4.156183150573889e-30,0.0,0.0,1.2705785172203834e-59,0.0,0.9999999999989999
plot_18140,WD_AM,G7,0.0,8.138113578777327e-24,0.0,0.0,1.2887739840960345e-53,0.0,0.9999999999989999
plot_18141,WD_AM,G7,0.0,1.5672038880973551e-27,0.0,0.0,1.036224884087432e-56,0.0,0.9999999999989999
plot_18142,WD_AM,G7,0.0,0.0,0.0,0.0,2.3556975590308514e-61,0.0,0.9999999999989999
plot_18143,WD_AM,G7,0.0,0.0,0.0,0.0,6.164476501999711e-23,0.0,0.9999999999989999
plot_18151,WD_AM,G3,0.0,3.0703373922653025e-26,0.9999999999991875,0.0,1.9531944483655035e-44,8.223995813717889e-17,0.0
plot_18163,WD_AM,G7,0.0,1.9089857849382297e-15,0.0,0.0,1.1663170541834545e-49,0.0,0.9999999999989979
