unit_id,network_layer,function_type,probability,gap_score,stitch_score,fit_score,compatibility_weight,raw_score
plot_16705,walk,productive_mix,0.02918217837055597,0.09101779968295826,0.6873208243113764,0.34562997728570144,0.36,0.007783944635024782
plot_16705,slow,__network_total__,0.4518503307884767,,0.6546586466513131,,,0.12052485984815561
plot_16705,slow,life_service,0.13502072826011302,0.12469618229391496,0.6546586466513131,0.5656135543658146,0.78,0.03601492184757085
plot_16705,slow,public_activity,0.1712033033912619,0.13447329935352909,0.6546586466513131,0.6031769689990956,0.86,0.045666126017361613
plot_16705,slow,community_living,0.09003547539755923,0.09561489519443374,0.6546586466513131,0.38366769322582317,1.0,0.024015724487170452
plot_16705,slow,productive_mix,0.0555908237395425,0.09101779968295826,0.6546586466513131,0.34562997728570144,0.72,0.014828087496052687
plot_16705,fast,__network_total__,0.08006498094278955,,0.21049910383622872,,,0.021356232250701396
plot_16705,fast,life_service,0.015584727666199822,0.12469618229391496,0.21049910383622872,0.5656135543658146,0.28,0.004157011713287229
plot_16705,fast,public_activity,0.033285292325834125,0.13447329935352909,0.21049910383622872,0.6031769689990956,0.52,0.008878393838011893
plot_16705,fast,community_living,0.006369006406547773,0.09561489519443374,0.21049910383622872,0.38366769322582317,0.22,0.0016988448435606453
plot_16705,fast,productive_mix,0.024825954544207836,0.09101779968295826,0.21049910383622872,0.34562997728570144,1.0,0.00662198185584163
plot_16706,walk,__network_total__,0.45388071105305045,,0.6846980640856012,,,0.10709361237527645
plot_16706,walk,life_service,0.20067046533949143,0.12449818619961767,0.6846980640856012,0.5554477028101702,1.0,0.04734839905483886
plot_16706,walk,public_activity,0.15252490854811643,0.13472506946035348,0.6846980640856012,0.41066859586440163,0.95,0.03598840628351195
plot_16706,walk,community_living,0.06786978242696225,0.09558199313142093,0.6846980640856012,0.3946675562002351,0.62,0.01601394373945514
plot_16706,walk,productive_mix,0.03281555473848038,0.09134946856013312,0.6846980640856012,0.34386974446146246,0.36,0.007742863297470515
plot_16706,slow,__network_total__,0.4693348298946181,,0.684170631540597,,,0.1107400273308282
plot_16706,slow,life_service,0.1564023911258594,0.12449818619961767,0.684170631540597,0.5554477028101702,0.78,0.03690330221554938
plot_16706,slow,public_activity,0.13796881911722206,0.13472506946035348,0.684170631540597,0.41066859586440163,0.86,0.032553882274779934
plot_16706,slow,community_living,0.1093830667409204,0.09558199313142093,0.684170631540597,0.3946675562002351,1.0,0.025809045118469338
plot_16706,slow,productive_mix,0.06558055291061626,0.09134946856013312,0.684170631540597,0.34386974446146246,0.72,0.015473797722029555
plot_16706,fast,__network_total__,0.07678445905233132,,0.2062442355700106,,,0.018117370696624564
plot_16706,fast,life_service,0.016924825833404572,0.12449818619961767,0.2062442355700106,0.5554477028101702,0.28,0.003993429756282023
plot_16706,fast,public_activity,0.025147987206009356,0.13472506946035348,0.2062442355700106,0.41066859586440163,0.52,0.0059336929908528156
plot_16706,fast,community_living,0.007254210730102214,0.09558199313142093,0.2062442355700106,0.3946675562002351,0.22,0.0017116383514419375
plot_16706,fast,productive_mix,0.027457435282815176,0.09134946856013312,0.2062442355700106,0.34386974446146246,1.0,0.006478609598047789
plot_16702,walk,__network_total__,0.4569123225650696,,0.5215325613694284,,,0.05719411626349625
plot_16702,walk,life_service,0.20770133173690505,0.12411605171031638,0.5215325613694284,0.4016505668275378,1.0,0.025999067061168616
plot_16702,walk,public_activity,0.14508883924087376,0.13495717727044873,0.5215325613694284,0.27161357360431243,0.95,0.018161532377793308
plot_16702,walk,community_living,0.06963805686634168,0.09545263318567425,0.5215325613694284,0.28242562343077127,0.62,0.008716961491469296
plot_16702,walk,productive_mix,0.034484094720949064,0.09171718939770794,0.5215325613694284,0.25067016428264033,0.36,0.004316555333065025
plot_16702,slow,__network_total__,0.49797098385563393,,0.5471705655108642,,,0.06233364464017211
plot_16702,slow,life_service,0.16997113810005152,0.12411605171031638,0.5471705655108642,0.4016505668275378,0.78,0.02127618047015725
plot_16702,slow,public_activity,0.1378002960859239,0.13495717727044873,0.5471705655108642,0.27161357360431243,0.86,0.01724918713340269
plot_16702,slow,community_living,0.11784095499228321,0.09545263318567425,0.5471705655108642,0.28242562343077127,1.0,0.014750771532256603
plot_16702,slow,productive_mix,0.07235859467737528,0.09171718939770794,0.5471705655108642,0.25067016428264033,0.72,0.009057505504355563
plot_16702,fast,__network_total__,0.04511669357929656,,0.09117512587026841,,,0.005647493601206919
plot_16702,fast,life_service,0.010166986705771073,0.12411605171031638,0.09117512587026841,0.4016505668275378,0.28,0.0012726551484425774
plot_16702,fast,public_activity,0.013883810832281684,0.13495717727044873,0.09117512587026841,0.27161357360431243,0.52,0.001737909554428404
plot_16702,fast,community_living,0.004319888911958953,0.09545263318567425,0.09117512587026841,0.28242562343077127,0.22,0.0005407431939872506
