unit_id,step,tv_from_baseline_anchor,argmax_component,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_16014,2,0.5864770680959944,3,0.005382299049942268,0.00330977543471348,0.24752173736883104,0.4135229319040056,0.31865581455796643,0.011607441684541222,7.35059714151441e-81
plot_16016,2,0.39223666009652675,4,0.00225252931241779,0.07598476751834486,0.18284149531633914,0.12805990068257006,0.6077633399034732,0.0030979672668548686,3.067858950095761e-80
plot_16017,2,0.5727656702326459,4,0.0,0.007876334465270649,0.4272343297673541,0.011344983613412641,0.5353534967549307,0.018190855399031966,9.41718206919035e-81
plot_16018,2,0.2701504015970495,4,0.0007023760264608827,5.952199683830258e-147,0.15987374256571968,0.05125028412324971,0.7298495984029505,0.0583239988816192,4.552053889356015e-82
plot_16019,2,0.5722554412362897,2,0.06068816492934668,0.011864206561544436,0.4277445587637104,0.20604339537873595,0.22845789687304716,0.06520177749361544,9.427987387201436e-81
plot_16020,2,0.23532631144868235,4,0.0,0.10316894941426277,0.11950744458340523,0.010917965693014998,0.7646736885513177,0.0010402666760319806,0.0006916850819674532
plot_16025,2,0.5807390898950635,3,0.0012618814520057033,0.2611511881319766,0.05767395669752659,0.4192609101049365,0.2580527790798312,0.0025992845337234516,6.325367230997673e-81
plot_16026,2,0.43670119208412833,1,0.0,0.563298807915788,0.06609025401969552,0.10658887460527366,0.2640220634592429,6.233060112016244e-22,6.5434602407340415e-81
plot_16027,2,0.3733626352556007,1,0.0,0.6266373647423317,0.10861410761016575,0.12029872976083358,0.144449797886669,1.1804703266653078e-21,1.0029563650127294e-81
plot_16028,2,0.20780747304329214,4,0.0,0.010266649494918673,0.18008076390353545,0.007271882886140137,0.7921925269567078,0.009353535614459525,0.0008346411442383
plot_16029,2,0.4785065600240087,2,0.0,0.0,0.5214934399759913,0.0,0.26421401883221424,0.21167480080348758,0.002617740388306812
plot_16030,2,0.298324518573029,5,0.0,0.0,0.17087793799358375,0.0,0.1274465805794453,0.701675481426971,1.8301787973978138e-258
plot_16031,2,0.4579761073505719,2,0.0,0.0024204475024151247,0.5420238926494281,0.0,0.3801346644832088,0.07110982483918821,0.004311170525759948
plot_16032,2,0.2581856612689526,5,0.0,0.0,0.05752053333750404,0.0007141700873777585,0.19995095784407085,0.7418143387310474,1.2947699033045087e-257
