unit_id,worldpop_sum,worldpop_mean_pixel,worldpop_pixel_count,unit_area_m2,worldpop_density_per_km2
plot_6380,516.1163177490234,258.0581588745117,2,12632.98786241503,40854.651597073425
plot_6604,0.0,0.0,0,1642.0169548137228,0.0
plot_18768,0.0,0.0,0,953.5209400051742,0.0
plot_18827,0.0,0.0,0,411.8086804163869,0.0
plot_7084,899.7198333740234,449.8599166870117,2,18453.692165113207,48755.545791261655
plot_18887,737.2052612304688,737.2052612304688,1,2563.1890388312127,287612.52098933235
plot_18767,718.0062255859375,718.0062255859375,1,1141.7117920736878,628885.7052810367
plot_18606,0.0,0.0,0,1543.5921401498217,0.0
plot_18842,689.34814453125,689.34814453125,1,2572.5731252973383,267960.563590034
plot_6324,602.3109130859375,602.3109130859375,1,2769.761445372773,217459.49063309116
plot_16834,0.0,0.0,0,823.3867687355473,0.0
plot_19596,0.0,0.0,0,1711.4892344175853,0.0
plot_19554,0.0,0.0,0,5015.572030665381,0.0
plot_6638,0.0,0.0,0,1694.9938901420005,0.0
plot_19553,594.4750366210938,594.4750366210938,1,3322.4894192813704,178924.5838289755
plot_19505,1325.7378540039062,662.8689270019531,2,9804.75555157053,135213.75897959527
plot_19597,0.0,0.0,0,1312.2590333999226,0.0
plot_19555,0.0,0.0,0,116.96287438510694,0.0
plot_6778,615.7396240234375,615.7396240234375,1,4042.5920063147623,152313.07613076377
plot_6695,1136.947021484375,568.4735107421875,2,14475.382799801437,78543.48566864642
plot_19833,642.3485717773438,642.3485717773438,1,4588.901010266647,139978.737902655
plot_10173,637.161865234375,637.161865234375,1,6732.518577666047,94639.4514748237
plot_10149,590.7822875976562,590.7822875976562,1,8373.439010739092,70554.31906053975
plot_10172,648.57568359375,648.57568359375,1,2918.1393306375867,222256.58548388854
plot_6246,640.5278930664062,640.5278930664062,1,3233.965832496063,198062.66554524153
plot_6608,0.0,0.0,0,2657.7156447496955,0.0
plot_6618,0.0,0.0,0,3063.8826483041576,0.0
plot_6609,0.0,0.0,0,3931.8156465627167,0.0
plot_6666,2379.003387451172,594.750846862793,4,23742.13073054651,100201.76430038597
plot_12239,1443.0241088867188,721.5120544433594,2,15539.063882338978,92864.28833893893
plot_16358,0.0,0.0,0,1.5757751327619345,0.0
plot_16357,0.0,0.0,0,2.7862342170641137,0.0
plot_18660,0.0,0.0,0,579.7533355259131,0.0
plot_18661,0.0,0.0,0,2064.2018469833533,0.0
plot_19598,0.0,0.0,0,2461.929055122419,0.0
plot_18453,695.8848266601562,695.8848266601562,1,4477.115581672872,155431.50806934029
plot_18658,0.0,0.0,0,848.5902949145301,0.0
plot_5565,0.0,0.0,0,848.59051880177,0.0
plot_5566,0.0,0.0,0,1451.4085366523923,0.0
plot_6379,0.0,0.0,0,3338.7554175409073,0.0
plot_6481,650.7682495117188,650.7682495117188,1,4857.740073759475,133965.22655195912
plot_6480,0.0,0.0,0,2793.92462062625,0.0
plot_6479,0.0,0.0,0,2242.1476435742497,0.0
plot_6555,594.9395141601562,594.9395141601562,1,2273.07879374656,261732.90419887213
plot_6515,596.01708984375,596.01708984375,1,5935.82110842249,100410.2177200128
plot_6513,611.3069458007812,611.3069458007812,1,5361.433034286737,114019.3194415431
plot_10144,567.243896484375,567.243896484375,1,14935.415751682409,37979.78616165924
plot_6431,1253.0468139648438,626.5234069824219,2,9742.164923199673,128620.9814597656
plot_6772,0.0,0.0,0,7239.019896651657,0.0
plot_18659,0.0,0.0,0,1451.4076585194111,0.0
plot_19612,0.0,0.0,0,2303.4853490374967,0.0
plot_5557,667.6036376953125,667.6036376953125,1,2303.489366337805,289822.7564890824
plot_18709,0.0,0.0,0,1645.9838764464464,0.0
plot_5558,0.0,0.0,0,1645.9764988178583,0.0
plot_5595,0.0,0.0,0,2378.5561538992,0.0
plot_18493,613.02392578125,613.02392578125,1,2378.5540834544795,257729.65603158713
plot_5568,0.0,0.0,0,1453.493831283348,0.0
plot_18377,0.0,0.0,0,1453.4939999797664,0.0
plot_18494,0.0,0.0,0,2378.988966243381,0.0
plot_6432,0.0,0.0,0,571.4435828248984,0.0
plot_6637,631.3132934570312,631.3132934570312,1,10264.2877825951,61505.806036297385
plot_6478,0.0,0.0,0,2356.4745926058813,0.0
plot_6636,0.0,0.0,0,1310.3951647525405,0.0
plot_6665,518.919921875,518.919921875,1,1175.7600807563072,441348.47777890624
plot_6635,0.0,0.0,0,1766.5937657398754,0.0
plot_10145,421.458984375,421.458984375,1,1956.278266417077,215439.17938980227
plot_6607,0.0,0.0,0,399.218656008719,0.0
plot_18350,1624.8307800292969,541.6102600097656,3,19938.736934057742,81491.15891357651
plot_10147,646.713623046875,646.713623046875,1,3612.930031043572,178999.7640391823
plot_18088,0.0,0.0,0,523.4588171684375,0.0
plot_18889,0.0,0.0,0,909.641049775146,0.0
plot_18656,0.0,0.0,0,933.4984719001575,0.0
plot_18115,0.0,0.0,0,1175.8106265924548,0.0
plot_19333,761.43603515625,761.43603515625,1,2332.854553351601,326396.70315592474
plot_18376,721.8035888671875,721.8035888671875,1,9766.914981422937,73902.92535975655
plot_18114,713.7692260742188,713.7692260742188,1,5389.184586163985,132444.75386995028
plot_19437,0.0,0.0,0,3697.3721254892334,0.0
plot_18375,0.0,0.0,0,806.5709535665391,0.0
plot_19126,0.0,0.0,0,1035.4862246758428,0.0
plot_19399,0.0,0.0,0,1215.4447748683829,0.0
plot_18086,752.3749389648438,752.3749389648438,1,2705.6539085402687,278075.0843964218
plot_18866,709.5197143554688,709.5197143554688,1,4511.711126811247,157261.77816196706
plot_18948,0.0,0.0,0,870.7482310138305,0.0
plot_18655,0.0,0.0,0,2309.535114017062,0.0
plot_18344,0.0,0.0,0,1206.2811156664454,0.0
plot_18696,0.0,0.0,0,1278.9117695806267,0.0
plot_18695,713.072509765625,713.072509765625,1,1195.428885434338,596499.313722491
plot_18694,0.0,0.0,0,1967.0740948270065,0.0
plot_18113,863.8136596679688,863.8136596679688,1,772.7888737822942,1117787.391839854
plot_18869,0.0,0.0,0,2739.507257300979,0.0
plot_18346,0.0,0.0,0,1955.8263895510381,0.0
plot_19107,461.2901611328125,461.2901611328125,1,1510.2230947433184,305445.04499927186
plot_18345,808.0040893554688,808.0040893554688,1,1780.9418769263052,453694.8116184387
plot_19757,0.0,0.0,0,2361.984981183232,0.0
plot_18868,0.0,0.0,0,966.1731823949758,0.0
plot_19369,0.0,0.0,0,2035.1484134891357,0.0
plot_18867,0.0,0.0,0,659.2767887663032,0.0
plot_18342,0.0,0.0,0,5954.708437108504,0.0
plot_19398,0.0,0.0,0,1330.9800177478255,0.0
plot_18654,0.0,0.0,0,2008.126280329847,0.0
plot_18693,0.0,0.0,0,896.4277575433239,0.0
plot_18692,823.009765625,823.009765625,1,1279.5475284554777,643203.7476704305
plot_18576,0.0,0.0,0,1450.2726119899812,0.0
plot_18766,0.0,0.0,0,1825.7016974113749,0.0
plot_18974,754.8863525390625,754.8863525390625,1,7958.07364441264,94857.9249538697
plot_18343,0.0,0.0,0,1801.8190448949615,0.0
plot_18577,1023.6249389648438,1023.6249389648438,1,4714.019878306751,217144.80748700703
plot_18973,0.0,0.0,0,896.7333776706903,0.0
plot_18691,0.0,0.0,0,985.8391629700552,0.0
plot_14726,452.80352783203125,452.80352783203125,1,7737.001567831053,58524.419810731364
plot_14725,0.0,0.0,0,1435.8660521569486,0.0
plot_10476,379.8061218261719,379.8061218261719,1,1278.810683530294,296999.49079067464
plot_17519,836.2576599121094,418.1288299560547,2,25056.920513802605,33374.31906093396
plot_5504,0.0,0.0,0,301315.83273923467,0.0
